"Id";"country";"actor_name";"edad";"year_nacimiento";"pelis";"series";"genero_def";"edad_inicio_carrera";"genero_cine_main";"porc_genero_cine_main";"type_race";"prob_race";"age_by_picture";"year_nacimiento_from_1875";"author_graph";"profesion_main";"total_trabajos";"porc_profesion_main"
"22024";"Spain";"Pere Ponce";;;25;4;"M";;"Comedia";46;"white";99;40;;"";;;
"30362";"United States of America";"Shannon Elizabeth";47;1973;18;3;"F";27;"Comedia";48;"latino hispanic";42;37;98;"";;;
"117712";"Canada";"Aaron Poole";44;1977;14;8;"M";20;"Suspense";33;"white";100;27;102;"";;;
"110499";"United States of America";"Mike Pniewski";;;25;37;"M";;"Drama";48;"white";51;38;;"";;;
"5118";"France";"Jean-Marie Poire";75;1945;13;0;"M";28;"Comedia";69;"latino hispanic";32;43;70;"";;;
"1734";"Switzerland";"Jean-Philippe Écoffey";61;1959;23;3;"M";28;"Drama";52;"white";54;34;84;"";;;
"244296";"Spain";"Fernando Esteso";;;30;0;"M";;"Comedia";82;"white";73;33;;"";;;
"33391";"United Kingdom";"James Purefoy";56;1964;35;23;"M";27;"Drama";34;"white";72;38;89;"";;;
"79200";"United States of America";"Rob Paulsen";;;30;11;"M";;"Animacion";45;"white";79;43;;"";;;
"9682";"United States of America";"Jennifer Esposito";48;1972;27;12;"F";25;"Comedia";36;"white";80;29;97;"";;;
"44086";"Sweden";"Lena Endre";65;1955;10;2;"F";40;"Drama";42;"latino hispanic";44;39;80;"";;;
"78746";"United States of America";"Peter Onorati";66;1954;11;34;"M";37;"Drama";43;"white";38;39;79;"";;;
"228538";"United States of America";"Robert Pralgo";54;1966;18;11;"M";39;"Comedia";27;"white";66;37;91;"";;;
"70602";"United Kingdom";"Rosamund Pike";42;1979;33;5;"F";22;"Drama";29;"white";89;31;104;"";;;
"219390";"Spain";"Veronica Echegui";37;1983;22;7;"F";22;"Drama";40;"white";69;31;108;"";;;
"117465";"United States of America";"Zac Efron";33;1987;34;9;"M";16;"Comedia";42;"white";38;25;112;"";;;
"11882";"France";"Vanessa Paradis";48;1972;23;0;"F";27;"Comedia";41;"white";77;32;97;"";;;
"1825";"United States of America";"Al Pacino";80;1940;58;2;"M";32;"Drama";41;"white";62;46;65;"";;;
"33592";"France";"Andre Penvern";73;1947;21;1;"M";25;"Drama";37;"white";34;46;72;"";;;
"4356";"United States of America";"Debra Paget";87;1933;20;0;"F";74;"Aventura";39;"white";88;32;58;"";;;
"109779";"United States of America";"Barbara Eve Harris";62;1959;8;31;"F";35;"Drama";38;"black";100;38;84;"";;;
"15980";"Spain";"Candela Peña";47;1973;29;2;"F";22;"Drama";52;"white";85;26;98;"";;;
"16653";"United Kingdom";"Christopher Eccleston";57;1964;27;7;"M";30;"Drama";57;"white";86;24;89;"";;;
"34230";"Mexico";"Emilio Echevarria";76;1944;;;"M";;"";;"white";62;41;69;;;;
"4396";;"Walter Pidgeon";;1897;30;0;"M";;"Drama";43;"white";89;21;22;"";;;
"18989";"United States of America";"Teri Polo";51;1969;28;20;"F";23;"Drama";33;"white";100;32;94;"";;;
"20176";;"Guy Pearce";53;1967;51;6;"M";22;"Drama";46;"middle eastern";31;34;92;"";;;
"92901";"United States of America";"Lou Taylor Pucci";35;1985;20;7;"M";18;"Drama";41;"white";66;24;110;"";;;
"110617";"United Kingdom";"Hal Ozsan";44;1976;4;29;"M";24;"Suspense";50;"white";47;23;101;"";;;
"13382";"Denmark";"Bodil Jorgensen";59;1961;12;0;"F";42;"Comedia";33;"white";72;37;86;"";;;
"89968";"United States of America";"Jared Padalecki";38;1982;10;4;"M";18;"Terror";36;"white";69;24;107;"";;;
"12545";"France";"Catherine Jacob";64;1956;30;0;"F";33;"Comedia";68;"white";97;32;81;"";;;
"114115";"United States of America";"Lee Pace";42;1979;24;5;"M";24;"Drama";43;"white";55;23;104;"";;;
"69250";"Italy";"Luciano Pigozzi";;1927;26;0;"M";;"Accion";32;"indian";76;41;52;"";;;
"4238";"France";"Manuel Poirier";66;1954;;;"M";;"";;"black";64;32;79;;;;
"13617";"United States of America";"Richard Portnow";;;28;29;"M";;"Drama";29;"white";100;42;;"";;;
"140079";"Spain";"Roberto Enriquez";53;1968;17;11;"M";28;"Drama";47;"white";95;31;93;"";;;
"38330";"United States of America";"Sarah Jessica Parker";56;1965;46;4;"F";19;"Comedia";48;"white";44;29;90;"";;;
"44718";"United States of America";"Sarah Paulson";45;1975;30;13;"F";20;"Drama";36;"white";77;29;100;"";;;
"12837";"United States of America";"Tracy Pollan";;;;;"F";;"";;"white";99;34;;;;;
"74472";"United Kingdom";"James Corden";42;1978;32;5;"M";23;"Comedia";39;"white";100;24;103;"";;;
"102906";"Canada";"Carly Pope";40;1980;14;15;"F";22;"Accion";31;"white";98;32;105;"";;;
"105118";"United States of America";"JD Pardo";40;1980;7;14;"M";24;"Drama";40;"latino hispanic";59;24;105;"";;;
"860";"United States of America";"Christopher Plummer";;1929;95;2;"M";;"Drama";47;"latino hispanic";34;27;54;"Christopher Plummer";;;
